School,G,W,L,WLPct,Srs,Sos,Tm,Opp,Pace,ORtg,FTr,X3PAr,TsPct,TrbPct,AstPct,StlPct,BlkPct,EFgPct,TovPct,OrbPct,FtFga,Season,TeamId,SRS_scaled,ORtg_scaled,SRS_ORtg,SRS_ORtg_scaled
detroit mercy,31,11,20,0.355,-6.03,-0.06,2279,2464,70.4,104.3,0.31,0.44,0.53,45.7,40.7,10.9,7,0.497,14.2,28.8,0.222,2019,1178,18.525571273123,24.0157480314961,98.27,42.541319304619
drake,33,24,9,0.727,3.4,-0.12,2490,2307,69.4,107.1,0.325,0.401,0.577,51.4,57.7,7.5,10,0.544,16.8,25.3,0.245,2019,1179,27.0765324628219,27.6902887139108,110.5,54.7668211767327
drexel,32,13,19,0.406,-6.46,-2.36,2425,2475,70,108.3,0.307,0.352,0.557,51.9,53.1,6.4,4.9,0.522,14.8,29,0.232,2019,1180,18.1356546971346,29.2650918635171,101.84,47.4007465606516
duke,31,26,5,0.839,28.68,11.94,2608,2089,74,113.3,0.345,0.381,0.561,54.1,52.5,12.8,16.6,0.534,14.8,36.3,0.238,2019,1181,50,35.8267716535433,141.98,85.8267716535433
duquesne,31,19,12,0.613,1.13,-0.26,2265,2222,70.3,102.6,0.35,0.447,0.531,48,55.1,11.2,12.1,0.498,17.1,31.7,0.243,2019,1182,25.0181356546971,21.7847769028871,103.73,46.8029125575843
east carolina,30,10,20,0.333,-5.36,1.14,2031,2226,70.1,95.4,0.356,0.303,0.499,48.2,50.8,10.3,10,0.462,16.6,28.2,0.243,2019,1187,19.133115705477,12.3359580052494,90.04,31.4690737107263
east tennessee state,33,24,9,0.727,6.13,-1.36,2613,2269,70,111.8,0.308,0.362,0.57,57.5,52.8,10.5,11.9,0.55,17,37.8,0.205,2019,1190,29.5520493289808,33.8582677165354,117.93,63.4103170455162
eastern illinois,32,14,18,0.438,-11.7,-4.89,2299,2457,69,101.7,0.285,0.384,0.53,49.2,52.5,8.8,10.7,0.503,16.4,29.3,0.196,2019,1183,13.3841131664853,20.6036745406824,90,33.9877877071677
eastern kentucky,31,13,18,0.419,-7.25,-2.32,2562,2577,79.9,101.3,0.321,0.392,0.523,47.5,50.8,12.5,8,0.488,15.4,27.7,0.229,2019,1184,17.4192963365978,20.0787401574803,94.05,37.4980364940781
eastern michigan,32,15,17,0.469,0.97,5.01,2203,2213,66.5,102.3,0.332,0.348,0.522,51,45.1,11,13.5,0.5,17.3,35.6,0.209,2019,1185,24.8730504171201,21.3910761154856,103.27,46.2641265326056
eastern washington,31,14,17,0.452,-7.29,-3.89,2231,2314,69.6,101.8,0.266,0.437,0.53,49.4,54.2,8.2,8.4,0.501,14.8,24.1,0.193,2019,1186,17.3830250272035,20.734908136483,94.51,38.1179331636864
elon,32,11,21,0.344,-10.95,-2.99,2266,2445,69,101.9,0.238,0.506,0.547,48,57.6,6.1,5.1,0.527,16.6,23.6,0.165,2019,1189,14.0642002176279,20.8661417322835,90.95,34.9303419499113
evansville,32,11,21,0.344,-3.51,0.45,2234,2317,70.8,97.5,0.372,0.437,0.535,47.3,52.7,8.1,7.1,0.495,16.6,18.9,0.268,2019,1191,20.8106637649619,15.0918635170604,93.99,35.9025272820223
fairfield,31,9,22,0.29,-9.89,-6.83,2072,2167,68.1,98.1,0.239,0.422,0.53,47.6,52.7,9.6,6,0.507,18.2,25.8,0.166,2019,1193,15.025389916576,15.8792650918635,88.21,30.9046550084395
fairleigh dickinson,33,20,13,0.606,-5.73,-7.98,2489,2352,68.6,108.3,0.36,0.344,0.579,49.4,53.2,11,10.2,0.547,17.1,28.9,0.263,2019,1192,18.79760609358,29.2650918635171,102.57,48.0626979570971
florida a&m,31,12,19,0.387,-13.37,-7.89,1927,2057,67.1,92.3,0.307,0.298,0.513,47.9,49.4,10.8,10.7,0.493,21,27.9,0.188,2019,1197,11.8697859992746,8.26771653543309,78.93,20.1375025347077
florida atlantic,32,17,15,0.531,-0.78,-1.19,2256,2175,70.4,99,0.28,0.452,0.521,52.6,51.6,7.8,8.4,0.485,17.9,30,0.21,2019,1194,23.2861806311208,17.0603674540682,98.22,40.346548085189
florida gulf coast,32,14,18,0.438,-4.85,-1.22,2280,2360,71.1,100.2,0.329,0.405,0.552,48.3,55.5,9.5,11.6,0.528,18.8,25.6,0.22,2019,1195,19.5955749002539,18.6351706036745,95.35,38.2307455039284
florida international,32,19,13,0.594,-3.55,-1.08,2643,2555,80.7,102.3,0.376,0.415,0.53,45.5,50.2,13.1,11.5,0.505,15.2,26.2,0.24,2019,1198,20.7743924555676,21.3910761154856,98.75,42.1654685710532
florida state,31,25,6,0.806,17.87,9.39,2350,2087,69.8,107.3,0.373,0.381,0.549,53.1,50.1,10.2,12.8,0.509,16.3,33.1,0.274,2019,1199,40.1976786361988,27.9527559055118,125.17,68.1504345417106
florida,31,17,14,0.548,15.29,10.74,2117,1976,65.1,103.6,0.295,0.434,0.528,49.1,51.1,11.1,11.7,0.495,15.2,30.7,0.213,2019,1196,37.8581791802684,23.0971128608924,118.89,60.9552920411608
fordham,32,12,20,0.375,-4.53,-1.91,2108,2141,66.4,98,0.244,0.44,0.5,47.5,47.4,8.7,9.9,0.475,14.1,25.3,0.166,2019,1200,19.8857453754081,15.748031496063,93.47,35.633776871471
fresno state,30,22,8,0.733,9.81,0.95,2312,2027,69.8,110,0.317,0.477,0.575,51.3,53,10,10.3,0.547,15.9,27.7,0.228,2019,1201,32.8890097932535,31.496062992126,119.81,64.3850727853795
furman,32,25,7,0.781,8.12,-1.36,2492,2106,68.3,112.3,0.261,0.478,0.583,51.2,56.4,12.6,11.7,0.563,15.8,29.9,0.186,2019,1202,31.3565469713457,34.5144356955381,120.42,65.8709826668837
gardner-webb,34,23,11,0.676,-2.79,-5.14,2662,2397,68.7,111.6,0.385,0.364,0.588,49.5,52.7,9.8,8.8,0.559,14.7,24.8,0.274,2019,1205,21.4635473340588,33.5958005249344,108.81,55.0593478589932
george mason,31,17,14,0.548,1.62,0.59,2196,2164,68.6,102.4,0.345,0.338,0.541,51,48.1,9.2,8.2,0.505,16.7,28.4,0.249,2019,1206,25.4624591947769,21.5223097112861,104.02,46.984768906063
george washington,32,9,23,0.281,-6.27,1.7,2040,2295,67.6,92.8,0.332,0.341,0.494,47.6,49.9,7.4,8.2,0.459,16.5,23.4,0.227,2019,1203,18.3079434167573,8.92388451443571,86.53,27.2318279311931
georgetown,31,19,12,0.613,8.13,5.93,2500,2432,73.6,106.6,0.385,0.38,0.555,52.4,61.8,7.8,10.5,0.514,15.7,29.1,0.284,2019,1207,31.3656147986942,27.0341207349081,114.73,58.3997355336024
georgia southern,31,20,11,0.645,4.21,0.52,2587,2355,75.8,109.2,0.368,0.309,0.579,50.8,40,10.2,10.2,0.554,16,27.5,0.253,2019,1204,27.8110264780559,30.4461942257218,113.41,58.2572207037777
georgia state,31,22,9,0.71,2.64,0.44,2411,2297,71.4,108.9,0.342,0.437,0.575,45.6,46.3,11.3,14.3,0.556,14.6,23.7,0.224,2019,1209,26.3873775843308,30.0524934383202,111.54,56.439871022651
georgia tech,32,14,18,0.438,7.76,8.97,2091,2130,68.1,95.6,0.343,0.334,0.525,48.3,57.4,10.1,14.4,0.492,18.7,25.3,0.236,2019,1210,31.0301051867972,12.5984251968504,103.36,43.6285303836476
georgia,32,11,21,0.344,5.76,8.57,2274,2364,70.4,100.9,0.413,0.37,0.54,52.1,54.5,8.2,12.7,0.501,19.4,32.7,0.291,2019,1208,29.2165397170838,19.5538057742782,106.66,48.770345491362
gonzaga,33,30,3,0.909,28.51,4.73,2932,2147,71.6,124.1,0.36,0.353,0.627,54.3,55.9,10.5,13.4,0.596,12.8,30.6,0.276,2019,1211,49.8458469350744,50,152.61,99.8458469350744
grambling,32,17,15,0.531,-9.53,-9.49,2282,2181,71.4,99.1,0.436,0.302,0.546,50.9,49.4,8,11.6,0.511,19.4,26.8,0.296,2019,1212,15.3518317011244,17.1916010498688,89.57,32.5434327509932
grand canyon,30,18,12,0.6,5.38,-1.83,2278,2038,69.8,107.9,0.351,0.381,0.555,52.7,55.6,8.9,6,0.518,15.3,29.6,0.257,2019,1213,28.8719622778382,28.740157480315,113.28,57.6121197581532
green bay,33,17,16,0.515,-3.23,0.06,2653,2633,76.4,104.4,0.346,0.363,0.547,47.6,51.8,10.2,10.8,0.515,14.8,25,0.244,2019,1453,21.0645629307218,24.1469816272966,101.17,45.2115445580184
hampton,31,15,16,0.484,-3.98,-5.05,2533,2380,72.8,109.6,0.354,0.385,0.547,50.2,50.6,8.4,9.5,0.5,12.6,27.9,0.276,2019,1214,20.3844758795793,30.9711286089239,105.62,51.3556044885031
hartford,33,18,15,0.545,-3.51,-4.45,2477,2407,68,108.4,0.332,0.454,0.574,47.4,54.5,10,6,0.542,15.7,25.3,0.246,2019,1216,20.8106637649619,29.3963254593176,104.89,50.2069892242795
harvard,27,17,10,0.63,1.56,0.1,1923,1873,68.6,101.5,0.308,0.42,0.563,53.3,48.6,8.3,11.2,0.537,20.3,27.8,0.218,2019,1217,25.4080522306855,20.3412073490814,103.06,45.7492595797669
hawaii,30,18,12,0.6,-0.68,-3.14,2175,2063,67.6,106.3,0.337,0.429,0.557,51,61,7.4,5.7,0.529,15.3,26.4,0.234,2019,1218,23.3768589046065,26.6404199475066,105.62,50.017278852113
high point,31,16,15,0.516,-5.52,-4.28,2115,2105,65.5,103,0.351,0.339,0.527,55,52.9,8.3,9.8,0.496,16.8,34.2,0.238,2019,1219,18.9880304678999,22.3097112860892,97.48,41.2977417539891
hofstra,34,27,7,0.794,5.13,-4.54,2841,2469,68.1,119.2,0.376,0.389,0.606,50.7,49,9.3,9.1,0.564,12.4,27.8,0.301,2019,1220,28.6452665941241,43.5695538057743,124.33,72.2148203998983
holy cross,33,16,17,0.485,-6.1,-3.68,2216,2296,65,102.1,0.231,0.365,0.544,43.5,60.1,11.1,12.4,0.527,14.7,20.5,0.154,2019,1221,18.462096481683,21.1286089238845,96,39.5907054055675
houston baptist,30,12,18,0.4,-8.78,-4.96,2465,2484,75,107.3,0.418,0.31,0.542,52.2,51.9,10.2,4.5,0.509,16.3,35,0.282,2019,1223,16.031918752267,27.9527559055118,98.52,43.9846746577788
houston,31,29,2,0.935,18.13,3.33,2369,1910,67.7,112.9,0.32,0.432,0.558,55.4,56.5,9.7,13.6,0.529,14.5,34.5,0.227,2019,1222,40.4334421472615,35.3018372703412,131.03,75.7352794176027
howard,31,16,15,0.516,-12.36,-9.51,2463,2434,74.7,105.5,0.364,0.305,0.528,48.7,48.5,7.6,10.6,0.488,14.1,30.6,0.264,2019,1224,12.7856365614799,25.5905511811024,93.14,38.3761877425822
idaho state,30,11,19,0.367,-12.94,-4.59,2198,2369,68.9,106.3,0.286,0.432,0.555,48.6,49.2,7.4,7.9,0.526,15.4,26.8,0.21,2019,1226,12.259702575263,26.6404199475066,93.36,38.9001225227695
idaho,32,5,27,0.156,-18.52,-5.97,2174,2460,67.9,99.6,0.287,0.384,0.542,47.7,51.3,6,4.8,0.512,17.8,24.2,0.208,2019,1225,7.19985491476242,17.8477690288714,81.08,25.0476239436338
illinois-chicago,32,16,16,0.5,-2.98,-1.81,2391,2385,71.5,103.3,0.279,0.455,0.561,48.4,55.3,9.1,10.6,0.54,17.7,24.8,0.19,2019,1227,21.291258614436,22.7034120734908,100.32,43.9946706879268
illinois state,33,17,16,0.515,-1.68,0.63,2257,2314,67.9,100,0.286,0.389,0.526,49.5,51.8,7.2,9.7,0.495,16.3,25.5,0.205,2019,1229,22.4700761697497,18.3727034120735,98.32,40.8427795818232
illinois,32,12,20,0.375,10.17,12.17,2336,2400,71.3,101.2,0.301,0.373,0.524,47.4,51.2,10.3,7.1,0.493,15.9,29,0.212,2019,1228,33.215451577802,19.9475065616798,111.37,53.1629581394818
incarnate word,31,6,25,0.194,-18.49,-4.67,2044,2355,66.6,97.8,0.362,0.333,0.571,46.7,49.8,8.8,5.2,0.523,22,23.6,0.293,2019,1230,7.22705839680812,15.485564304462,79.31,22.7126227012701
indiana state,31,15,16,0.484,-2.42,0.92,2146,2218,69.3,99,0.361,0.286,0.533,48.4,45.2,9.6,6.8,0.492,16.9,23.8,0.264,2019,1232,21.7990569459558,17.0603674540682,96.58,38.859424400024
indiana,31,17,14,0.548,15.35,11.35,2214,2090,67.9,103.6,0.352,0.334,0.538,50.9,50.3,9.4,12,0.512,15.8,28.4,0.233,2019,1231,37.9125861443598,23.0971128608924,118.95,61.0096990052522
iona,32,17,15,0.531,-4.81,-6.03,2459,2420,71.3,107.8,0.371,0.436,0.567,48.5,50.3,9.5,8,0.53,15.4,25,0.275,2019,1233,19.6318462096482,28.6089238845144,102.99,48.2407700941626
iowa state,31,20,11,0.645,17.52,8.58,2409,2132,68.9,112.8,0.299,0.395,0.576,50.4,55.1,10.3,12.6,0.549,14,28.6,0.218,2019,1235,39.8803046789989,35.1706036745407,130.32,75.0509083535396
iowa,31,21,10,0.677,14.51,9.54,2448,2294,70.6,110.9,0.435,0.394,0.572,50.9,59.8,8.9,9.3,0.528,15.1,30,0.323,2019,1234,37.1508886470802,32.6771653543307,125.41,69.8280540014109
purdue-fort wayne,33,18,15,0.545,-3.13,-3.26,2728,2556,73.5,111.7,0.27,0.461,0.587,48.9,53,10.1,12.3,0.568,14.5,24,0.187,2019,0,21.1552412042075,33.7270341207349,108.57,54.8822753249424
iupui,32,16,16,0.5,-2.46,-2.96,2434,2351,71.3,106.8,0.362,0.351,0.545,53.3,53.4,9.8,9.2,0.512,16.6,34.9,0.254,2019,1237,21.7627856365615,27.2965879265092,104.34,49.0593735630707
jackson state,32,13,19,0.406,-14.48,-9.22,1974,2107,67.3,91.3,0.343,0.313,0.479,50.6,50.2,9.7,11.9,0.448,17.5,28.7,0.217,2019,1238,10.8632571635836,6.95538057742783,76.82,17.8186377410114
jacksonville state,33,24,9,0.727,1.68,-5.38,2574,2283,71.3,107.4,0.305,0.307,0.545,54.3,47.3,10.2,12.2,0.51,15.7,33.4,0.227,2019,1240,25.5168661588683,28.0839895013123,109.08,53.6008556601807
jacksonville,32,12,20,0.375,-8.02,-4.48,2385,2402,73.3,101.3,0.298,0.33,0.535,50.5,51.3,9,13,0.51,17.2,28.4,0.202,2019,1239,16.7210736307581,20.0787401574803,93.28,36.7998137882384
james madison,33,14,19,0.424,-8.02,-3.56,2322,2409,66,104.3,0.326,0.361,0.54,50.6,49.1,9.5,8.3,0.507,16.4,30.8,0.235,2019,1241,16.7210736307581,24.0157480314961,96.28,40.7368216622541
kansas state,31,24,7,0.774,15.8,8.96,2043,1831,64.9,101.6,0.316,0.379,0.525,51.2,57.9,11.6,7.6,0.499,15.5,28.1,0.209,2019,1243,38.3206383750454,20.4724409448819,117.4,58.7930793199273
kansas,31,23,8,0.742,18.3,12.81,2344,2174,70.7,105.7,0.335,0.359,0.556,51.3,49.3,9.5,10.5,0.528,16.4,29.1,0.233,2019,1242,40.5875952121872,25.8530183727034,124,66.4406135848906
kennesaw state,32,6,26,0.188,-16.05,-0.92,2030,2455,70.9,89.1,0.303,0.225,0.456,48.7,48.9,8.1,8.7,0.416,16.4,29.4,0.211,2019,1244,9.43960826985854,4.06824146981628,73.05,13.5078497396748
kent state,31,22,9,0.71,2.29,0.98,2323,2241,69.4,107.2,0.326,0.375,0.532,51,49.9,10,10.2,0.497,14.2,33.6,0.235,2019,1245,26.0700036271309,27.8215223097113,109.49,53.8915259368422
kentucky,31,26,5,0.839,21.75,10.17,2381,2022,68.1,112.4,0.434,0.303,0.574,56.7,51.8,8.8,14,0.531,16,36.5,0.322,2019,1246,43.7159956474429,34.6456692913386,134.15,78.3616649387815
la salle,30,10,20,0.333,-2.69,1.75,2034,2167,69.6,97.4,0.287,0.431,0.515,48.9,53.9,10.9,8.8,0.476,17.6,28.7,0.22,2019,1247,21.5542256075444,14.9606299212598,94.71,36.5148555288043
lafayette,30,10,20,0.333,-10.75,-4.51,2209,2349,70.4,102.9,0.245,0.412,0.554,48.3,52.2,7.3,10.7,0.528,16.8,22.6,0.182,2019,1248,14.2455567645992,22.1784776902887,92.15,36.4240344548879
lamar,32,20,12,0.625,-5.33,-6.79,2525,2246,71.4,108.8,0.416,0.336,0.549,55,53.4,11.9,8.4,0.514,16.7,37.2,0.287,2019,1249,19.1603191875227,29.9212598425197,103.47,49.0815790300424
lehigh,31,20,11,0.645,-1.99,-4.12,2479,2413,72.4,109.5,0.349,0.382,0.6,50.5,54.7,7.6,6.3,0.564,16.8,23.6,0.271,2019,1250,22.1889735219441,30.8398950131234,107.51,53.0288685350675
liberty,34,28,6,0.824,4.87,-5.03,2516,2066,65.3,113.3,0.258,0.435,0.597,51.7,54.8,9.8,8.2,0.571,15,25.9,0.199,2019,1251,28.4095030830613,35.8267716535433,118.17,64.2362747366046
lipscomb,32,25,7,0.781,8.66,-2.88,2670,2209,74.9,111.4,0.366,0.392,0.59,53.3,59.7,10.1,7.6,0.556,15.8,27,0.275,2019,1252,31.8462096481683,33.3333333333333,120.06,65.1795429815016
long beach state,32,14,18,0.438,-4.38,-0.18,2410,2443,73.7,101,0.41,0.313,0.526,48.9,46.6,8.4,7.7,0.486,16.6,29.1,0.284,2019,1253,20.0217627856366,19.6850393700787,96.62,39.7068021557153
long island university,32,16,16,0.5,-8.62,-8.71,2373,2337,72.9,101.4,0.342,0.432,0.543,50.1,52.3,9.3,12,0.511,17.7,27.8,0.24,2019,1254,16.177003989844,20.2099737532808,92.78,36.3869777431249
longwood,32,15,17,0.469,-9.58,-7.17,2228,2243,68.9,99.9,0.345,0.501,0.545,50.8,49.1,8.9,7.4,0.509,18.3,24.7,0.252,2019,1255,15.3064925643816,18.241469816273,90.32,33.5479623806546
louisiana,31,19,12,0.613,-1.59,-1.03,2543,2505,75,108.5,0.356,0.404,0.554,48.4,52.9,9.2,10,0.516,15.1,30,0.265,2019,1418,22.5516866158868,29.5275590551181,106.91,52.079245671005
louisiana-monroe,31,17,14,0.548,0.71,-1.76,2437,2321,69.4,112.4,0.374,0.438,0.58,49.4,52.8,8.3,5.7,0.538,14.1,27.1,0.291,2019,1419,24.6372869060573,34.6456692913386,113.11,59.2829561973959
louisiana state,31,26,5,0.839,17.43,8.72,2531,2261,70.6,112.5,0.384,0.344,0.56,53.4,46.1,12.7,12.1,0.517,15.3,37.3,0.29,2019,1261,39.7986942328618,34.7769028871391,129.93,74.5755971200009
louisiana tech,32,20,12,0.625,1.4,-2,2330,2178,68.1,105.7,0.361,0.391,0.53,50.8,52,8.5,10.3,0.502,14.4,30.2,0.239,2019,1256,25.2629669931085,25.8530183727034,107.1,51.1159853658119
louisville,32,20,12,0.625,18.82,11.48,2390,2155,68.3,107.6,0.359,0.433,0.554,52.8,52.9,6.5,8,0.509,15.5,29.7,0.279,2019,1257,41.0591222343127,28.3464566929134,126.42,69.4055789272261
loyola (il),33,20,13,0.606,4.45,-0.12,2170,1996,63.6,103.4,0.33,0.337,0.574,50.7,55.7,10.2,7,0.555,17.2,20.1,0.22,2019,1260,28.0286543344215,22.8346456692913,107.85,50.8633000037128
loyola marymount,31,20,11,0.645,3.37,1.47,2094,1951,65.3,103.5,0.38,0.283,0.545,52.6,55.5,11.1,10.4,0.502,17.1,30.6,0.283,2019,1258,27.0493289807762,22.9658792650919,106.87,50.0152082458681
loyola (md),32,11,21,0.344,-8.67,-4.14,2332,2477,70.4,102.4,0.336,0.336,0.548,48.3,53.2,12.2,6.2,0.516,17.3,27.3,0.239,2019,1259,16.1316648531012,21.5223097112861,93.73,37.6539745643873
maine,32,5,27,0.156,-14.66,-3.75,1988,2271,64.6,94,0.262,0.374,0.512,48.8,63.1,11.3,10.7,0.49,19.1,26.2,0.17,2019,1263,10.7000362713094,10.498687664042,79.34,21.1987239353514
manhattan,32,11,21,0.344,-12.52,-6.96,1833,2011,62.7,91,0.333,0.41,0.493,49,55.3,10.9,8.6,0.474,20.8,29.5,0.194,2019,1264,12.6405513239028,6.56167979002625,78.48,19.202231113929
marist,31,12,19,0.387,-9.17,-7.2,2086,2147,65.6,101.8,0.322,0.41,0.549,48.8,51,8.4,6.2,0.523,16.9,24.2,0.22,2019,1265,15.6782734856728,20.734908136483,92.63,36.4131816221558
marquette,31,23,8,0.742,15.79,7.56,2400,2145,70.5,108.5,0.346,0.417,0.579,53.1,51.8,7,11.6,0.542,17.2,28.7,0.264,2019,1266,38.3115705476968,29.5275590551181,124.29,67.8391296028149
marshall,32,19,13,0.594,-0.9,0.22,2574,2610,76.1,104.5,0.307,0.45,0.55,44.1,50.6,12.1,10.8,0.519,14.7,23.1,0.223,2019,1267,23.177366702938,24.2782152230971,103.6,47.4555819260351
maryland-baltimore county,33,21,12,0.636,-5.25,-5.81,2247,2111,65.9,100.2,0.302,0.422,0.531,50.5,55,11.7,9.1,0.504,16.4,25.8,0.208,2019,1420,19.2328618063112,18.6351706036745,94.95,37.8680324099858
maryland-eastern shore,32,7,25,0.219,-23.8,-7.5,1833,2291,65.5,87.1,0.287,0.358,0.473,45.5,54.2,8.8,7.3,0.441,18.2,23.5,0.193,2019,1271,2.4120420747189,1.44356955380579,63.3,3.85561162852468
maryland,31,22,9,0.71,17.18,10.44,2222,2013,66.4,108,0.325,0.369,0.557,56.3,52,6.6,13.2,0.522,17,34.3,0.242,2019,1268,39.5719985491476,28.8713910761155,125.18,68.4433896252631
massachusetts-lowell,32,15,17,0.469,-7.86,-6.53,2456,2420,71.9,106,0.345,0.389,0.57,49.8,57.1,7.8,6.8,0.539,17.2,27.2,0.248,2019,1262,16.8661588683351,26.246719160105,98.14,43.1128780284401
massachusetts,32,11,21,0.344,-2.51,0.33,2263,2354,68.4,102.6,0.313,0.399,0.537,52,58,7,8,0.511,17.4,31.3,0.213,2019,1269,21.7174464998186,21.7847769028871,100.09,43.5022234027058
mcneese state,31,9,22,0.29,-14.04,-5.78,2149,2303,68.4,100.9,0.386,0.327,0.542,50.6,56.4,6.9,8.8,0.504,18.5,30.4,0.275,2019,1270,11.2622415669206,19.5538057742782,86.86,30.8160473411988
memphis,31,19,12,0.613,9.89,4.6,2521,2357,76.1,106.1,0.376,0.36,0.552,51.5,54.4,10.4,10.8,0.518,17.1,33.4,0.265,2019,1272,32.9615524120421,26.3779527559055,115.99,59.3395051679476
mercer,31,11,20,0.355,-2.4,0.22,2248,2246,69.1,104.5,0.371,0.38,0.547,49.2,49.9,9.6,8.5,0.516,16.5,29.1,0.255,2019,1273,21.8171926006529,24.2782152230971,102.1,46.09540782375
miami (fl),32,14,18,0.438,10.25,9.56,2297,2275,68.5,104.4,0.308,0.435,0.542,47.7,51.3,9.6,8.7,0.508,14.9,25.8,0.227,2019,1274,33.2879941965905,24.1469816272966,114.65,57.4349758238871
miami (oh),32,15,17,0.469,1.28,2.81,2267,2233,68.8,102.6,0.339,0.45,0.529,52,44.9,8.7,8.2,0.494,16.2,29.8,0.241,2019,1275,25.1541530649256,21.7847769028871,103.88,46.9389299678128
michigan state,31,25,6,0.806,25.61,11.81,2471,2043,68.8,115,0.352,0.377,0.593,56.1,67.9,7.6,14.2,0.561,16.2,34.7,0.262,2019,1277,47.2161770039899,38.0577427821522,140.61,85.2739197861421
michigan,31,26,5,0.839,22.04,10.46,2183,1824,65.5,107.4,0.282,0.396,0.544,50.1,51.9,9.4,10.4,0.519,12.2,24.6,0.196,2019,1276,43.9789626405513,28.0839895013123,129.44,72.0629521418637
middle tennessee,32,11,21,0.344,-5.62,1.91,2141,2313,70.3,95.2,0.297,0.35,0.505,52.3,45.4,8.5,7.6,0.476,19.5,32.1,0.201,2019,1292,18.8973521944142,12.0734908136483,89.58,30.9708430080625
milwaukee,31,9,22,0.29,-8.68,-2.28,2146,2315,68.9,100,0.279,0.38,0.521,49.3,46.4,6.8,9.4,0.485,15.6,26,0.208,2019,1454,16.1225970257526,18.3727034120735,91.32,34.4953004378261
minnesota,31,19,12,0.613,13.07,10.65,2206,2131,68.4,104,0.425,0.295,0.522,52.3,59,7.2,10.8,0.484,15.2,32.4,0.288,2019,1278,35.8451215088865,23.6220472440945,117.07,59.467168752981
mississippi state,31,22,9,0.71,16.39,9.32,2396,2177,68.7,111.6,0.329,0.388,0.573,52.8,51.6,11.8,14.2,0.544,16.5,34.6,0.237,2019,1280,38.8556401886108,33.5958005249344,127.99,72.4514407135452
mississippi valley state,32,6,26,0.188,-22.27,-6.79,2058,2498,70.6,90.7,0.336,0.288,0.461,47.6,49.5,7.8,5.8,0.424,15.7,28.9,0.222,2019,1290,3.79941965904969,6.16797900262468,68.43,9.96739866167437
mississippi,31,20,11,0.645,13.58,8.22,2356,2190,69.3,109.3,0.326,0.395,0.573,51.7,54.4,10.6,9.7,0.533,16.1,31,0.256,2019,1279,36.3075807036634,30.5774278215223,122.88,66.8850085251857
missouri-kansas city,31,11,20,0.355,-6.18,-1.18,2156,2270,68.8,100.3,0.334,0.403,0.536,45.4,46.3,10.6,7.8,0.505,16,23.6,0.233,2019,1282,18.3895538628945,18.7664041994751,94.12,37.1559580623695
missouri state,32,16,16,0.5,-0.87,-0.71,2206,2157,66.5,103.2,0.366,0.379,0.548,49.7,45.7,10.3,12.1,0.517,16.1,26.1,0.253,2019,1283,23.2045701849837,22.5721784776903,102.33,45.776748662674
missouri,31,15,16,0.484,9.09,9.34,2079,2087,66.1,100.6,0.299,0.407,0.532,53,46.4,7,5.2,0.502,18.2,31.7,0.21,2019,1281,32.2361262241567,19.1601049868766,109.69,51.3962312110333
monmouth,35,14,21,0.4,-10.33,-4.5,2286,2490,68.4,94.1,0.403,0.295,0.501,50,47.7,9.8,11.1,0.458,18,29.1,0.277,2019,1284,14.626405513239,10.6299212598425,83.77,25.2563267730816
montana state,31,15,16,0.484,-7.48,-5.51,2418,2462,71.9,108.5,0.345,0.428,0.568,49.8,56.8,7.5,4.4,0.535,15.3,26.1,0.253,2019,1286,17.2107363075807,29.5275590551181,101.02,46.7382953626988
montana,31,23,8,0.742,1.12,-5.57,2385,2139,68.6,111.7,0.332,0.384,0.59,52.1,52.2,9.5,8.5,0.569,15.6,27.8,0.228,2019,1285,25.0090678273486,33.7270341207349,112.82,58.7361019480835
morehead state,33,13,20,0.394,-7.64,-1.67,2431,2543,70.6,103.2,0.328,0.382,0.528,48.8,51.5,7.9,10.8,0.494,14.9,29,0.231,2019,1287,17.0656510700036,22.5721784776903,95.56,39.6378295476939
morgan state,30,9,21,0.3,-15.65,-10.29,2159,2304,73.8,96.6,0.349,0.271,0.483,47.2,47.3,10.3,4.4,0.438,15.2,31.8,0.249,2019,1288,9.80232136380123,13.9107611548556,80.95,23.7130825186569
mount st. mary's,31,9,22,0.29,-14.09,-5.53,2092,2286,69.5,97.1,0.338,0.412,0.513,47.4,48.3,6.8,9.7,0.481,16.8,26.4,0.23,2019,1291,11.2169024301777,14.5669291338583,83.01,25.783831564036
murray state,31,27,4,0.871,8.85,-4.36,2582,2101,71.7,116.1,0.333,0.368,0.59,52.6,59.8,10.6,11.7,0.56,14.7,32,0.246,2019,1293,32.0184983677911,39.501312335958,124.95,71.5198107037491
navy,31,12,19,0.387,-9.74,-3.64,2061,2250,68.3,97.3,0.305,0.367,0.504,52.4,54.5,7.9,5.7,0.468,17.6,31.5,0.218,2019,1298,15.1614073268045,14.8293963254593,87.56,29.9908036522638
omaha,32,21,11,0.656,-2.1,-3.16,2523,2454,70,111.7,0.237,0.36,0.568,49.2,43.1,8,5.7,0.546,12,24.9,0.171,2019,1303,22.0892274211099,33.7270341207349,109.6,55.8162615418448
nebraska,32,17,15,0.531,15.85,11.59,2303,2130,67.5,106.1,0.328,0.375,0.525,48.2,50.6,10.6,10.9,0.493,12.5,28.1,0.228,2019,1304,38.3659775117882,26.3779527559055,121.95,64.7439302676937
